company,client,item,qty,price
SLP,WSS,30327,33,0
WBG,VVD,15445,1,32
XME,KPC,5267,17,1
NCQ,KTZ,31140,40,22
DZV,BEQ,225,16,0
JQU,HTA,24239,28,25
PXL,KQI,25130,31,10
MDJ,KUK,22338,42,6
DYN,DGZ,24457,5,27
EHI,NYY,19499,17,29
CTQ,SJU,8413,39,5
NRT,WOL,5075,12,6
FTP,RFP,12500,32,6
EAA,IKK,12610,42,30
UJE,JKC,8755,20,18
SJD,JWP,25503,48,13
CXV,YQE,7124,48,17
ROZ,CGB,11347,34,7
CKV,GXB,11147,23,32
RLO,CWH,26474,27,23
NET,KOS,26844,36,0
JOX,YNJ,22918,12,10
OZE,PBX,3637,4,16
CYF,VST,21703,7,10
RHE,RHS,31166,11,20
XMQ,TJD,11852,6,0
NLW,YXY,7961,12,28
PYQ,MBF,20363,22,7
NRJ,OOF,25003,22,31
KPO,EWP,12029,41,12
VTL,FWA,30248,12,19
XLX,WWZ,20490,26,10
HSF,XTO,24949,12,2
CBZ,MWV,20212,46,1
WXB,RLS,4134,28,9
TCV,ZOI,19995,2,0
XTB,IUO,21057,11,17
ZSD,OCS,16792,21,9
XSK,ATJ,25586,32,24
XLS,HVH,20732,3,11
WPN,JQJ,28227,14,29
NBS,ZPP,2438,35,27
YSA,BVH,25951,0,21
QIQ,TUQ,31996,47,15
TUJ,AZI,14887,37,19
AHX,RJZ,265,4,22
KGN,NRM,2516,8,22
IVV,PJL,30101,43,6
QPU,RDD,9529,10,3
ONS,XIZ,25919,43,0
GAL,EGF,10159,14,10
CXU,BZK,23236,23,9
SMD,LNQ,3131,6,24
RUW,DYT,2356,16,26
PFB,MJS,27292,17,8
EFV,WIR,21871,43,1
FBJ,AWZ,6512,36,13
BFH,DFT,9226,16,6
DQW,AEC,12749,39,10
LYY,ZMX,18809,9,6
PYG,AOX,25349,15,16
DEN,RUE,6103,39,7
YNN,RFA,20694,42,14
OKG,QPP,20025,47,2
OHB,UEZ,27982,10,25
PXW,KME,15137,8,19
YIH,GCT,5109,27,16
BFV,EHQ,23586,47,25
FAL,LKC,547,46,24
KZG,ZGE,9132,28,26
BGU,EMG,16548,5,32
PPW,PJB,6182,18,3
LYF,ZNH,6011,25,21
AWJ,JJR,19785,15,31
HNH,ZSJ,15681,31,18
BHW,IBB,10782,39,30
PES,TZG,14972,44,19
ISW,WCQ,25882,17,31
JKJ,TIU,14984,45,27
PLZ,YBN,23729,11,23
NKE,OJO,6419,34,24
TWR,FZP,30345,6,32
QSX,XYA,29705,12,2
SEP,EAF,15966,11,25
SIM,ENW,12970,22,9
TYE,YVH,25730,34,24
LUO,QKB,16193,27,15
XGJ,GGL,6854,40,8
LQP,ZGJ,25375,7,16
YDO,ANR,11744,43,29
XAE,JOM,3998,30,0
MHB,WPD,27731,42,29
VBP,VHO,7123,31,18
YEC,ULZ,26552,40,0
QKK,ENN,6906,32,31
WEB,JJD,26342,46,29
NEN,RDX,10298,43,31
HRV,MLN,13781,10,20
HIB,TTK,1305,6,26
EBS,OHM,21489,20,7
PML,NXE,10759,31,6
IOH,RAG,21672,40,13
WDB,RVZ,7138,22,28
EDC,WPP,20614,23,22
RYV,WBP,26276,11,14
QGI,XEP,14933,32,15
XEN,INM,30524,3,25
SPC,DCH,15469,18,14
KPY,DLA,16142,41,29
PWI,UGI,25554,48,23
QYA,ECK,19104,42,17
FTF,MKC,6147,2,20
UWK,JVH,8708,28,1
EDA,FYN,28183,9,3
JHE,WOL,29436,22,15
AIV,XTK,8466,30,24
IUY,PNQ,20015,15,29
